"id","agent","alpha","gamma","epsilon","training_index","test_performance","num_states_visited","avg_visits_per_state","avg_score","avg_guesses","training_delta_raw","training_delta_rms"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","97","0.9186851211072664","239","40.44351464435147","-4.974048442906574","4.408304498269896","75.84941476014629","0.35490623182224096"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","98","0.8788927335640139","239","40.13807531380753","-6.083044982698962","4.659169550173011","74.92215544444095","0.3003029309459554"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","99","0.9325259515570934","239","40.32217573221757","-4.728373702422146","4.382352941176471","76.49126761288657","0.322323209488252"
"SarsaAgent-0.20-0.90-0.05","SarsaAgent","0.2","0.9","0.05","0","0.8633217993079585","224","43.40625","-6.2456747404844295","4.749134948096886","756.2116442703758","4.343441769522758"
"SarsaAgent-0.20-0.90-0.05","SarsaAgent","0.2","0.9","0.05","1","0.8875432525951558","233","41.48497854077253","-5.545847750865052","4.608996539792387","343.36871015384475","1.3385438568679937"
"SarsaAgent-0.20-0.90-0.05","SarsaAgent","0.2","0.9","0.05","2","0.8910034602076125","235","41.11489361702127","-5.258650519031142","4.534602076124568","307.4430667290966","1.087107481798924"
"SarsaAgent-0.20-0.90-0.05","SarsaAgent","0.2","0.9","0.05","3","0.8979238754325259","236","41.16101694915254","-5.286332179930795","4.467128027681661","293.8649008628112","0.958637619030546"
"SarsaAgent-0.20-0.90-0.05","SarsaAgent","0.2","0.9","0.05","4","0.8979238754325259","236","40.978813559322035","-5.86159169550173","4.676470588235294","295.32237920652716","0.9496043789769083"
"SarsaAgent-0.20-0.90-0.05","SarsaAgent","0.2","0.9","0.05","5","0.9186851211072664","238","40.88655462184874","-4.96280276816609","4.42560553633218","300.9513519826546","0.9723054900292177"
"SarsaAgent-0.20-0.90-0.05","SarsaAgent","0.2","0.9","0.05","6","0.8633217993079585","239","40.21338912133891","-6.376297577854671","4.756055363321799","270.75625908615723","0.9673447196459876"
"SarsaAgent-0.20-0.90-0.05","SarsaAgent","0.2","0.9","0.05","7","0.8875432525951558","239","40.67782426778243","-5.160899653979238","4.4878892733564015","286.3881316205108","1.0728099533316886"
"SarsaAgent-0.20-0.90-0.05","SarsaAgent","0.2","0.9","0.05","8","0.8961937716262975","239","40.52719665271967","-5.929065743944637","4.704152249134948","270.321867312168","1.0008275513130693"
"SarsaAgent-0.20-0.90-0.05","SarsaAgent","0.2","0.9","0.05","9","0.9048442906574394","239","40.65690376569037","-5.085640138408304","4.468858131487889","284.3224343162677","0.9508355696820023"
"SarsaAgent-0.20-0.90-0.05","SarsaAgent","0.2","0.9","0.05","10","0.8927335640138409","239","40.46025104602511","-5.25","4.544982698961937","261.2143571274449","0.9719317280326863"
"SarsaAgent-0.20-0.90-0.05","SarsaAgent","0.2","0.9","0.05","11","0.8806228373702422","239","40.56903765690377","-5.550173010380623","4.596885813148789","281.2786370764429","0.9268483219419761"
"SarsaAgent-0.20-0.90-0.05","SarsaAgent","0.2","0.9","0.05","12","0.9065743944636678","239","40.72803347280335","-4.696366782006921","4.408304498269896","272.7768199723303","1.0557431303769902"
"SarsaAgent-0.20-0.90-0.05","SarsaAgent","0.2","0.9","0.05","13","0.8979238754325259","239","40.51882845188285","-5.305363321799308","4.532871972318339","277.4385293275097","1.0837815858172692"
"SarsaAgent-0.20-0.90-0.05","SarsaAgent","0.2","0.9","0.05","14","0.8996539792387543","239","40.38493723849373","-5.868512110726644","4.647058823529412","257.06936256509454","0.9013939152205332"
"SarsaAgent-0.20-0.90-0.05","SarsaAgent","0.2","0.9","0.05","15","0.8788927335640139","239","41.02510460251046","-6.02681660899654","4.686851211072664","293.34371636125246","0.9650844823982208"
"SarsaAgent-0.20-0.90-0.05","SarsaAgent","0.2","0.9","0.05","16","0.9083044982698962","239","40.19665271966527","-5.326989619377162","4.525951557093426","258.80954236475384","1.1351302081238341"
"SarsaAgent-0.20-0.90-0.05","SarsaAgent","0.2","0.9","0.05","17","0.9065743944636678","239","40.83682008368201","-5.300173010380623","4.506920415224913","320.8962129090014","1.195082332535857"
"SarsaAgent-0.20-0.90-0.05","SarsaAgent","0.2","0.9","0.05","18","0.9307958477508651","239","40.53556485355649","-4.846020761245675","4.430795847750865","282.1162902631895","1.0113995939644824"
"SarsaAgent-0.20-0.90-0.05","SarsaAgent","0.2","0.9","0.05","19","0.889273356401384","239","40.29707112970711","-5.91522491349481","4.6833910034602075","256.2625154122796","0.8881534733513953"
"SarsaAgent-0.20-0.90-0.05","SarsaAgent","0.2","0.9","0.05","20","0.8650519031141869","239","40.1255230125523","-6.2690311418685125","4.76643598615917","263.89491534447774","1.008519333203736"
"SarsaAgent-0.20-0.90-0.05","SarsaAgent","0.2","0.9","0.05","21","0.8961937716262975","239","40.34728033472803","-5.29757785467128","4.534602076124568","294.5274105187582","1.0018847197174405"
"SarsaAgent-0.20-0.90-0.05","SarsaAgent","0.2","0.9","0.05","22","0.9065743944636678","239","40.17573221757322","-5.3157439446366785","4.5190311418685125","298.9873948794807","0.9992760109260139"
